,,,,,,,,,,,,,,,,,
BEER,CATEGORY,DESCRIPTION,ABV,BREWED,PRICE,,,,,,,,,,,,
Virginia Beer,,,,,,,,,,,,,,,,,
,,,,,Small,Large,Growler,,,,,,,,,,
Wild Wolf Brewing - Area 151,Seasonal,"This Belgian Blonde ale has fruit added during fermentation and is filtered prior to packaging. The first brew of Area 151 was done with blackberries which gives the beer a beautiful color. The beer is ever so slightly sweet, but it balances nicely with a little pepper and Belgian ester on the finish.",7.10%,"Nellysford, VA",$4.00,,$12.50,,,,,,,,,,
Starr Hill - Dark Star Stout,Stout,"This stout has won more national and international awards than any other Dry Irish Stout in the country (Including 3 GABF Gold Medals). Brewed with roasted barley, and with hints of coffe and dark chocolate, it packs a robust taste into a light body.",4.20%,"Crozet, VA",$4.00,$6.75,$15.00,,,,,,,,,,
Starr Hill - The Love,Wheat,"The Love is an unfiltered wheat beer, also known as a hefeweizen. It is distinguished by its extremely light body and flavored with hints of banana and clove. A slice of lemon can compliment this refreshing brew nicely.",4.60%,"Crozet, VA",$4.00,$6.75,$15.00,,,,,,,,,,
Breckenridge - Avalanche,Amber,"A blend of pale and caramel malts and a touch of bittering hops, a refreshing and flavorful anytime beer. As clean as a Colorado snowfall.",4.40%,Colorado,$4.00,$6.75,$15.00,,,,,,,,,,
Troegs - Hopback,Amber,"Packed full of whole flower hops, creating a fresh hoppy aroma, spicy taste and a rich caramel note",6.00%,Colorado,$4.00,$6.75,$15.00,,,,,,,,,,
Stone Brewing - Arrogant Bastard,American Strong,"An aggressive beer, you probably wont like it. It is quite doubtful that you have the taste or sophistication to appreciate an ale of this quality and depth (however, your chances are greatly increased if you have good enough taste to be in this establishment).",7.20%,California,$5.00,$8.50,$17.50,,,,,,,,,,
Leffe Blonde - Belgium,Belgian (Blonde),"A pale abbey beer with a full, sunny, golden color. It has a smooth and full bodied bodied taste and a rich, creamy head.",6.60%,Belgium,$6.00,,$17.50,,,,,,,,,,
Duvel - Belgium,Belgian (Golden),"Pilsner malts, Bohemian hops, and a unique yeast strain create this intense, aromatic and beguiling single fermented ale. This Belgian favorite is best enjoyed with discerning friends or good-looking strangers.",6.80%,Belgium,$7.50,,$24.00,,,,,,,,,,
Allagash - White,Belgian (Wit),"Allagash's interpretation of a traditional Belgian wheat beer. A winner of many awards, including two GABF gold medals and two World Beer Cup gold medals, it is brewed with a generous portion of wheat and spiced with coriander and Curacao orange peel. This beer is fruity, refreshing and slightly cloudy in appearance.",5.00%,Maine,$5.00,,$17.50,,,,,,,,,,
Ommegang - Witte,Belgian (Wit),"Traditional Belgian style wheat ale with spices, sweet orange peel, coriander. A drink of the sun, Witte was made to refresh and restore.",5.20%,New York,$6.50,,$12.50,,,,,,,,,,
Hoegaarden - Wit,Belgian (Wit),"Unfiltered Belgian white, with hints of coriander and orange peel, creating a sweet and sour taste. Traditionally used as the example of the style.",5.10%,Belgium,$5.75,,$17.50,,,,,,,,,,
Goose Island - Sofie,Belgian (Saison),"Fermented with wild yeasts and aged in wine barrels with orange peel, Sofie is a tart, dry, sparkling ale. A subtle, spicy white pepper note, a hint of citrus from the orange peel and a creamy vanilla finish make Sofie an intriguing choice for Champagne drinkers and beer drinkers who are fond of Belgian Saisons.",6.50%,Illinois,$7.00,,$22.00,,,,,,,,,,
Ommegang - Rare Vos,Belgian (Amber),"Traditional cafe-style ale, mellow, fruity, spicy ale made with spices, sweet orange peel, grains of paradise, coriander. Rare Vos was made to reward your victories.",6.50%,New York,$5.00,,$15.00,,,,,,,,,,
Huyghe - Delirium Tremens,Belgian (Strong Pale),"Pale blond, with a slightly malty yet spicy taste. The alcohol warms the tongue and palate beautifully, finishing crisp and dry. Named ""The Best Beer in the World"" at The World Beer Championships in 1998.",8.50%,Belgium,$9.75,,$26.00,,,,,,,,,,
Victory - Golden Monkey,Belgian (Triple),"This Belgian tripel is flavorful without being over powering. Intensely floral and spicy notes dominate the nose, but a subtle earthiness balances this big beer out in the finish. Available only at Capital Ale House.",9.50%,Pennsylvania,$5.00,,$17.50,,,,,,,,,,
Van Steenberge - Gulden Draak,Belgian (Strong Dark),"Dark with a caramel-colored head, this Belgian Strong Ale starts with touches of chocolate, caramel and alcohol and finishes long and bittersweet. Gulden Draak is high fermentation beer with wine yeast used for secondary fermentation.",10.50%,Belgium,$8.00,,$25.00,,,,,,,,,,
Van Steenberge - Piraat,Belgian (Strong pale),"This light amber ale with full white head will stun you with an aroma of bitter, spicy, malty and alcoholic scents. Then follows a perfect combination of malty, sweet and hoppy bitterness, and you'll be immersed in a very long, slightly sweet aftertaste with bitter undertone.",10.50%,Belgium,$8.00,,$22.00,,,,,,,,,,
St Bernardus ABT 12,Belgian (Quad),"Full bodied Quadruple; creamy, fruity and with a great complexity. Notes of raisin, plum, brown sugar and spice with a hint of licorice. It doesn't get much better as far a Belgian beers go.",10.00%,Belgium,$9.50,,$26.00,,,,,,,,,,
Ayinger - Jahrhundert Bier,Dortmunder Export,"Translated to ""100 year beer"" this Dortmunder Export has never before been available in the US in draft form. Ayinger shipped Capital Ale House some kegs in celebration of our 10th Anniversary. This refreshing, summer time beer was originally brewed by Ayinger in 1978 to celebrate their 100th Anniversary and has won numerous awards in Europe.",5.50%,Germany,$7.25,$12.00,$25.00,,,,,,,,,,
Hofbrau Dunkel,Dunkel,Dark beer existed in Bavaria long before light beer. This was the first type of beer to be brewed at Hofbrauhaus when it was founded.,5.50%,Germany,$5.75,$9.25,$17.50,,,,,,,,,,
